00001740-r	a_cappella%4:02:00::
00001837-r	AD%4:02:00::
00001837-r	A.D.%4:02:00::
00001837-r	anno_Domini%4:02:00::
00001981-r	CE%4:02:00::
00001981-r	C.E.%4:02:00::
00001981-r	Common_Era%4:02:00::
00002142-r	BC%4:02:00::
00002142-r	B.C.%4:02:00::
00002142-r	before_Christ%4:02:00::
00002296-r	BCE%4:02:00::
00002296-r	B.C.E.%4:02:00::
00002436-r	horseback%4:02:00::
00002436-r	ahorse%4:02:00::
00002436-r	ahorseback%4:02:00::
00002621-r	barely%4:02:00::
00002621-r	hardly%4:02:00::
00002621-r	just%4:02:04::
00002621-r	scarcely%4:02:00::
00002621-r	scarce%4:02:00::
00002938-r	hardly%4:02:02::
00002938-r	scarcely%4:02:02::
00003121-r	anisotropically%4:02:00::
00003207-r	at_a_premium%4:02:00::
00003358-r	annoyingly%4:02:00::
00003461-r	basically%4:02:00::
00003461-r	fundamentally%4:02:00::
00003461-r	essentially%4:02:01::
00003461-r	in_essence%4:02:00::
00003461-r	au_fond%4:02:00::
00003760-r	blessedly%4:02:00::
00003835-r	boiling%4:02:00::
00003914-r	enviably%4:02:00::
00004027-r	pointedly%4:02:00::
00004173-r	negatively%4:02:00::
00004277-r	negatively%4:02:01::
00004383-r	kindly%4:02:00::
00004556-r	unkindly%4:02:00::
00004711-r	merely%4:02:00::
00004711-r	simply%4:02:00::
00004711-r	just%4:02:00::
00004711-r	only%4:02:02::
00004711-r	but%4:02:01::
00004956-r	simply%4:02:02::
00005044-r	plainly%4:02:01::
00005044-r	simply%4:02:01::
00005235-r	anciently%4:02:00::
00005368-r	arguably%4:02:00::
00005478-r	unabashedly%4:02:00::
00005592-r	automatically%4:02:00::
00005699-r	alarmingly%4:02:00::
00005804-r	vastly%4:02:00::
00005804-r	immensely%4:02:01::
00006059-r	grossly%4:02:00::
00006130-r	largely%4:02:00::
00006130-r	mostly%4:02:00::
00006130-r	for_the_most_part%4:02:00::
00006284-r	significantly%4:02:03::
00006448-r	insignificantly%4:02:00::
00006635-r	appreciably%4:02:01::
00006754-r	ultrasonically%4:02:00::
00006883-r	smartly%4:02:00::
00006883-r	modishly%4:02:00::
00006883-r	sprucely%4:02:00::
00007040-r	approximately%4:02:00::
00007040-r	about%4:02:00::
00007040-r	close_to%4:02:00::
00007040-r	just_about%4:02:00::
00007040-r	some%4:02:00::
00007040-r	roughly%4:02:00::
00007040-r	more_or_less%4:02:00::
00007040-r	around%4:02:03::
00007040-r	or_so%4:02:00::
00007513-r	absolutely%4:02:01::
00007728-r	partially%4:02:00::
00007728-r	partly%4:02:00::
00007728-r	part%4:02:00::
00007909-r	half%4:02:00::
00008032-r	wholly%4:02:00::
00008032-r	entirely%4:02:00::
00008032-r	completely%4:02:04::
