00017539-r	worse%4:02:00::
00017703-r	worst%4:02:00::
00017907-r	even%4:02:00::
00018101-r	even%4:02:01::
00018101-r	yet%4:02:03::
00018101-r	still%4:02:00::
00018343-r	even_as%4:02:01::
00018343-r	just_as%4:02:02::
00018505-r	even%4:02:03::
00018651-r	even%4:02:04::
00018727-r	e'en%4:02:00::
00018764-r	rather%4:02:04::
00018764-r	kind_of%4:02:00::
00018764-r	kinda%4:02:00::
00018764-r	sort_of%4:02:00::
00019039-r	quite%4:02:01::
00019243-r	quite%4:02:02::
00019243-r	rather%4:02:00::
00019380-r	quite%4:02:03::
00019380-r	quite_a%4:02:00::
00019380-r	quite_an%4:02:00::
00019643-r	quite%4:02:04::
00019801-r	always%4:02:00::
00019801-r	ever%4:02:00::
00019801-r	e'er%4:02:00::
00020071-r	always%4:02:01::
00020219-r	always%4:02:02::
00020362-r	con_brio%4:02:00::
00020474-r	conjecturally%4:02:00::
00020597-r	consecutively%4:02:00::
00020735-r	constantly%4:02:01::
00020735-r	always%4:02:03::
00020735-r	forever%4:02:03::
00020735-r	perpetually%4:02:00::
00020735-r	incessantly%4:02:00::
00020931-r	constantly%4:02:03::
00020931-r	invariably%4:02:00::
00020931-r	always%4:02:04::
00021131-r	coterminously%4:02:00::
00021214-r	never%4:02:00::
00021214-r	ne'er%4:02:00::
00021452-r	never%4:02:01::
00021667-r	occasionally%4:02:00::
00021667-r	on_occasion%4:02:00::
00021667-r	once_in_a_while%4:02:00::
00021667-r	now_and_then%4:02:00::
00021667-r	now_and_again%4:02:00::
00021667-r	at_times%4:02:00::
00021667-r	from_time_to_time%4:02:00::
00022156-r	sometime%4:02:00::
00022332-r	sometimes%4:02:01::
00022585-r	equally%4:02:01::
00022585-r	as%4:02:00::
00022585-r	every_bit%4:02:00::
00022855-r	long_ago%4:02:00::
00022855-r	long_since%4:02:01::
00022855-r	lang_syne%4:02:00::
00023171-r	pretty_much%4:02:00::
00023283-r	much%4:02:01::
00023283-r	practically%4:02:02::
00023528-r	palmately%4:02:00::
00023622-r	paradoxically%4:02:00::
00023771-r	parasitically%4:02:00::
