00020280-r	always%4:02:03::
00020280-r	forever%4:02:03::
00020280-r	perpetually%4:02:00::
00020280-r	incessantly%4:02:00::
00020476-r	constantly%4:02:03::
00020476-r	invariably%4:02:00::
00020476-r	always%4:02:04::
00020676-r	coterminously%4:02:00::
00020759-r	never%4:02:00::
00020759-r	ne'er%4:02:00::
00020997-r	never%4:02:01::
00021212-r	occasionally%4:02:00::
00021212-r	on_occasion%4:02:00::
00021212-r	once_in_a_while%4:02:00::
00021212-r	now_and_then%4:02:00::
00021212-r	now_and_again%4:02:00::
00021212-r	at_times%4:02:00::
00021212-r	from_time_to_time%4:02:00::
00021702-r	sometime%4:02:00::
00021878-r	sometimes%4:02:01::
00022131-r	equally%4:02:01::
00022131-r	as%4:02:00::
00022131-r	every_bit%4:02:00::
00022401-r	long_ago%4:02:00::
00022401-r	long_since%4:02:01::
00022401-r	lang_syne%4:02:00::
00022717-r	pretty_much%4:02:00::
00022829-r	much%4:02:01::
00022829-r	practically%4:02:02::
00023074-r	that_much%4:02:00::
00023169-r	palmately%4:02:00::
00023263-r	paradoxically%4:02:00::
00023412-r	parasitically%4:02:00::
00023493-r	conformably%4:02:00::
00023574-r	conventionally%4:02:00::
00023721-r	unconventionally%4:02:00::
00023875-r	pathogenically%4:02:00::
00023958-r	pictorially%4:02:00::
00024073-r	not%4:02:00::
00024073-r	non%4:02:00::
00024257-r	nothing%4:02:00::
00024356-r	no%4:02:00::
00024509-r	any%4:02:00::
00024587-r	no%4:02:01::
00024682-r	none%4:02:00::
00024893-r	either%4:02:00::
00025144-r	bloody%4:02:00::
00025144-r	damn%4:02:00::
00025144-r	all-fired%4:02:00::
00025290-r	anywhere%4:02:00::
00025290-r	anyplace%4:02:00::
00025464-r	nowhere%4:02:00::
00025559-r	somewhere%4:02:00::
00025559-r	someplace%4:02:00::
00025728-r	everywhere%4:02:00::
00025728-r	everyplace%4:02:00::
00025728-r	all_over%4:02:00::
00026061-r	high_and_low%4:02:00::
00026137-r	somehow%4:02:00::
00026137-r	someway%4:02:00::
00026137-r	someways%4:02:00::
00026137-r	in_some_way%4:02:00::
00026137-r	in_some_manner%4:02:00::
00026416-r	somehow%4:02:01::
00026571-r	anyhow%4:02:00::
00026571-r	anyway%4:02:00::
00026571-r	anyways%4:02:00::
00026571-r	in_any_case%4:02:00::
00026571-r	at_any_rate%4:02:00::
00026571-r	in_any_event%4:02:00::
00027093-r	as_it_is%4:02:00::
00027258-r	anyhow%4:02:01::
00027258-r	anyway%4:02:01::
00027384-r	however%4:02:00::
00027384-r	nevertheless%4:02:00::
00027384-r	withal%4:02:01::
00027384-r	still%4:02:04::
00027384-r	yet%4:02:06::
00027384-r	all_the_same%4:02:00::
00027384-r	even_so%4:02:00::
00027384-r	nonetheless%4:02:00::
00027384-r	notwithstanding%4:02:00::
00027795-r	yet%4:02:02::
00027918-r	so_far%4:02:00::
00027918-r	thus_far%4:02:00::
00027918-r	up_to_now%4:02:00::
00027918-r	hitherto%4:02:00::
00027918-r	heretofore%4:02:00::
00027918-r	as_yet%4:02:00::
00027918-r	yet%4:02:04::
