i358	00069175-a
i359	00069347-s
i360	00069492-s
i361	00069669-a
i362	00069826-a
i363	00070036-a
i364	00070140-a
i365	00070557-s
i366	00070720-s
i367	00070897-s
i368	00071036-s
i369	00071192-a
i370	00071448-s
i371	00071547-a
i372	00071750-s
i373	00071850-s
i374	00072035-s
i375	00072167-s
i376	00072347-s
i377	00072505-s
i378	00072600-a
i379	00072889-s
i380	00073044-s
i381	00073281-s
i382	00073398-s
i383	00073656-a
i384	00073966-s
i385	00074073-s
i386	00074369-s
i387	00074543-s
i388	00074702-s
i389	00074824-s
i390	00074954-a
i391	00075202-s
i392	00075349-s
i393	00075475-s
i394	00075627-s
i395	00075743-a
i396	00075997-s
i397	00076123-a
i398	00076345-s
i399	00076560-a
i400	00076735-s
i401	00076949-a
i402	00077188-s
i403	00077347-s
i404	00077529-a
i405	00077667-s
i406	00077804-s
i407	00077962-s
i408	00078057-a
i409	00078253-a
i410	00078919-s
i411	00079053-s
i412	00079166-s
i413	00079295-s
i414	00079441-s
i415	00079532-s
i416	00079659-s
i417	00079852-s
i418	00079946-s
i419	00080075-s
i420	00080219-s
i421	00080376-s
i422	00080486-s
i423	00080688-s
i424	00080803-s
i425	00080947-s
i426	00081288-s
i428	00081451-s
i429	00081557-s
i430	00081704-s
i431	00081887-s
i432	00081983-s
i433	00082141-a
i434	00082400-s
i435	00082504-s
i436	00082630-s
i437	00082711-a
i438	00083236-s
i439	00083473-s
i440	00083766-s
i441	00083948-s
i442	00084218-s
i443	00084345-s
i444	00084491-s
i445	00084822-s
i446	00085130-s
i447	00085264-s
i448	00085425-a
i449	00085608-s
i450	00085733-a
i451	00086315-s
i452	00086555-s
i453	00086690-s
i454	00086895-s
i455	00087026-s
i456	00087291-s
i457	00087486-s
i458	00087707-s
i459	00087837-a
i460	00088039-a
i461	00088282-s
i462	00088522-s
i463	00088740-s
i464	00088842-s
i465	00089013-s
i466	00089230-s
i467	00089343-a
i468	00089477-s
i469	00089584-s
i470	00089736-a
i471	00090040-a
i472	00090253-s
i473	00091073-s
i474	00091262-s
i475	00091482-s
i476	00091572-a
i477	00091771-a
i478	00091975-a
i479	00092165-a
i480	00092618-s
i481	00092990-s
i482	00093129-s
i483	00093245-s
i484	00093404-a
i485	00093544-a
i486	00093701-s
i487	00093786-a
i488	00093961-s
i489	00094128-a
i490	00094286-s
i491	00094409-s
i492	00094663-a
i493	00094922-s
i494	00095092-s
i495	00095177-s
i496	00095301-a
i497	00095652-s
i498	00095794-s
i499	00095947-s
i500	00096133-a
i501	00096726-s
i502	00096925-s
i503	00097092-s
i504	00097267-s
i505	00097448-s
i506	00097668-s
i507	00097766-s
i508	00097875-s
i509	00098000-s
i510	00098158-s
i511	00098305-s
i512	00098430-s
i513	00098527-s
i514	00098621-s
i515	00098759-s
i516	00098896-s
i517	00099000-s
i518	00099160-s
i519	00099303-s
i520	00099382-a
i521	00099589-a
i522	00099786-a
i523	00099950-a
i524	00100143-a
i526	00100425-s
i527	00100594-a
i528	00100933-s
i529	00101092-s
i530	00101225-s
i531	00101395-a
i532	00101642-s
i533	00101750-s
i534	00101913-a
i535	00102092-a
i536	00102213-a
i537	00102370-a
i538	00102561-a
i539	00102878-s
i540	00103000-a
i541	00103377-s
i542	00103585-s
i543	00103729-s
i544	00103995-s
i545	00104101-s
i546	00104246-s
i547	00104366-s
i548	00104495-a
i549	00104752-s
i550	00104850-a
i551	00105117-s
i552	00105332-s
i553	00105498-s
i554	00105624-s
i555	00105741-s
i556	00105822-a
i557	00105996-s
i558	00106187-a
i559	00106365-a
i560	00106545-a
i561	00106819-s
i562	00106981-s
i563	00107089-s
i564	00107268-a
i565	00107633-s
i566	00107829-s
i567	00107940-s
i568	00108062-s
i569	00108195-s
i570	00108459-a
i571	00108679-s
i572	00108795-a
i573	00108956-s
i574	00109074-a
i575	00109245-a
i576	00109406-a
i577	00109509-a
i578	00109827-a
i579	00109944-a
i580	00110072-a
i581	00110193-a
i582	00110315-a
i583	00110444-a
i584	00110593-a
i585	00110777-a
i586	00111063-a
i587	00111308-a
i588	00111512-a
i589	00111664-a
i590	00111940-a
i591	00112226-a
i592	00112415-s
i593	00112667-a
i594	00112829-s
i595	00113042-a
i596	00113439-a
i597	00113826-a
i598	00114056-a
i599	00114287-a
i600	00114474-a
i601	00114629-a
i602	00115077-s
i603	00115265-s
i604	00115608-s
i605	00115732-s
i606	00115905-s
i607	00116004-s
i608	00116305-s
i609	00116588-s
i610	00116717-s
i611	00116869-s
i612	00117056-s
i613	00117274-a
i614	00117340-a
i615	00117555-s
i616	00117751-s
i617	00117917-a
i618	00118046-s
i619	00118196-a
i620	00118465-s
i621	00118565-a
i622	00118772-s
i623	00118877-a
i624	00119049-a
i625	00119262-s
i626	00119378-a
i627	00119655-s
i628	00119817-s
i629	00120089-s
i630	00120219-a
i631	00120343-s
i632	00120560-s
i633	00120685-a
i634	00120803-s
i635	00120942-a
i636	00121062-a
i637	00121221-a
i638	00121384-a
i639	00121594-s
i640	00121844-a
i641	00121993-s
i642	00122186-s
i643	00122362-a
i644	00122459-a
i645	00122675-a
i646	00122938-s
i647	00123055-s
i648	00123196-s
i649	00123436-a
i650	00123654-s
i651	00124357-s
i652	00124525-a
i653	00124676-a
i654	00124833-s
i655	00124949-a
i656	00125225-s
i657	00125365-s
i658	00125557-s
i659	00125790-a
i660	00125940-s
i661	00126042-s
i662	00126191-a
i663	00126425-s
i664	00126583-a
i665	00126865-s
i666	00126988-s
i667	00127107-s
i668	00127211-s
i669	00127369-s
i670	00127574-s
i671	00127702-s
i672	00128009-s
i673	00128168-a
i674	00128433-s
i675	00128551-s
i676	00128705-s
i677	00128838-s
i678	00129209-s
i679	00129334-s
i680	00129539-a
i681	00129644-a
i682	00129805-s
i683	00129954-a
i684	00130101-a
i685	00130175-a
i686	00130348-a
i687	00130539-a
i688	00130684-a
i689	00130801-a
i690	00130950-a
i691	00131089-a
i692	00131223-a
i693	00131353-a
i694	00131484-a
i695	00131590-s
i696	00131668-a
i697	00131773-s
i698	00131850-a
i699	00132090-s
i700	00132248-s
i701	00132369-s
i702	00132498-a
i703	00132764-s
i704	00132935-s
i705	00133111-s
i706	00133198-a
i707	00133456-a
i708	00133825-s
i709	00133920-a
i710	00134136-a
i711	00134330-a
i712	00134406-a
i713	00134488-a
i714	00134740-s
i715	00134922-a
i716	00135131-a
i717	00135322-s
i718	00135472-a
